,filename,transcription,text,wer,cer
0,00215732fe04.wav,они вовлечены гораздо больше,они вовлечены гораздо больше,0.0,0.0
1,002f252e502b.wav,но вряд ли кто обменяет этот момент прозрение и озарение на то что,но вряд ли кто обменяет этот момент прозрения и озарения на то,0.25,0.0967741935483871
2,0030204ec0f9.wav,это человек который сегодня занимается одним завтра другим,это человек который сегодня занимается одним завтра другим,0.0,0.0
3,0033c013a3cb.wav,пимер в конце зимы начали весны проходит фестеваль извинеции в москву,например в конце зимы начале весны проходит фестиваль из венеции в москву,0.4166666666666667,0.0958904109589041
4,00342b427c24.wav,из всего объема знаний и окружайших вас с событий,из всего объёма знаний и окружающих вас событий,0.375,0.1063829787234042
5,00361fa0a5e9.wav,как м бунюе кататься к океану,как мы будем кататься к океану,0.3333333333333333,0.1333333333333333
6,003b585a4d13.wav,начинает воспалительный процесс,и начинают воспалительный процесс,0.5,0.0909090909090909
7,003c7df04e4b.wav,сейчас мы хотим сделай такое исследование на примере молока,сейчас мы хотим сделать такое исследование на примере молока,0.1111111111111111,0.0333333333333333
8,004232b807df.wav,ого писали да,ого писали да,0.0,0.0
9,00436e646082.wav,и не важно в рубашки вы или в ромматическом платьье,и неважно в рубашке вы или в романтическом платье,0.5555555555555556,0.1020408163265306
10,0043867769f5.wav,довольно быстро  она училась обращать внимание на собственную поесницу,довольно быстро она научилась обращать внимание на собственную поясницу,0.2222222222222222,0.056338028169014
11,004b1de0364d.wav,им образом как философ я утверждаю что данные современные нейра науки,таким образом как философ я утверждаю что данные современной нейронауки,0.4,0.0985915492957746
12,00502577f698.wav,ю мы много деном для буда,и мы многое делаем для будущего,0.6666666666666666,0.3225806451612903
13,0058314126c2.wav,наконец мы пришли к главному,наконец мы пришли к главному,0.0,0.0
14,005bd921f429.wav,строить коллективное решения таким образом,и если строить коллективное решение таким образом,0.4285714285714285,0.1632653061224489
15,005be143ddd5.wav,один простой вопросесть такобо понять доверие доверия,один простой вопрос,1.6666666666666667,1.7894736842105263
16,00601a062ef2.wav,но начать с того что происходит,начать с того что происходит,0.2,0.1071428571428571
17,0080a2841e0d.wav,ка чаще всего сосредоточен именно в сфере как потратить а не как заработать,чаще всего сосредоточен именно в сфере как потратить а не как заработать,0.0833333333333333,0.0416666666666666
18,00843aed472d.wav,он переместился из этого из этой группы западной диеты в группу вегетарианцов,он переместился из группы западной диеты в группу вегетарианцев,0.4444444444444444,0.238095238095238
